<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/04/23,000000,4131.73,4142.41,4117.77,4137.04,58090
25/04/23,000000,4121.72,4122.78,4071.38,4071.63,59110
26/04/23,000000,4081.71,4089.67,4049.35,4055.99,59485
27/04/23,000000,4081.39,4138.24,4078.14,4135.35,59032
28/04/23,000000,4128.52,4170.06,4127.18,4169.48,58790
01/05/23,000000,4167.16,4186.92,4164.12,4167.87,58720
02/05/23,000000,4160.77,4164.1,4089.72,4119.58,24207
03/05/23,000000,4122.25,4148.3,4088.86,4090.75,21887
04/05/23,000000,4082.55,4082.61,4048.28,4061.22,21910
05/05/23,000000,4084.73,4147.02,4084.73,4136.25,21272
08/05/23,000000,4136.98,4142.3,4123.81,4138.12,21099
09/05/23,000000,4124.25,4130.35,4116.65,4119.17,20850
10/05/23,000000,4143.74,4154.28,4098.92,4137.64,21635
11/05/23,000000,4132.24,4132.8,4109.29,4130.62,21366
12/05/23,000000,4138.54,4143.74,4099.12,4124.08,21235
15/05/23,000000,4126.65,4141.25,4110.27,4136.28,20975
16/05/23,000000,4127.95,4135.54,4109.86,4109.9,21166
17/05/23,000000,4122.85,4164.67,4113.62,4158.77,21168
18/05/23,000000,4157.68,4202.2,4153.5,4198.05,21503
19/05/23,000000,4204.15,4212.91,4180.2,4191.98,21319
22/05/23,000000,4190.78,4209.22,4179.68,4192.63,21185
23/05/23,000000,4176.8,4185.68,4142.54,4145.58,21540
24/05/23,000000,4132.96,4132.96,4103.98,4115.24,21462
25/05/23,000000,4152.64,4165.74,4129.73,4151.28,21627
26/05/23,000000,4158.04,4212.87,4158.04,4205.45,21430
30/05/23,000000,4226.87,4231.1,4192.18,4205.52,21797
31/05/23,000000,4190.74,4195.44,4166.15,4179.83,21563
01/06/23,000000,4183.03,4232.43,4171.64,4221.02,21512
02/06/23,000000,4241.01,4290.67,4241.01,4282.37,21296
05/06/23,000000,4284.55,4299.28,4266.82,4273.79,46128
06/06/23,000000,4269.75,4288.33,4263.09,4283.85,45915
07/06/23,000000,4285.67,4299.19,4263.96,4267.52,46502
08/06/23,000000,4268.69,4298.01,4261.07,4293.93,45637
09/06/23,000000,4306.09,4322.62,4291.7,4298.86,45971
12/06/23,000000,4311.84,4340.13,4304.37,4338.93,45640
13/06/23,000000,4356.14,4375.37,4349.31,4369.01,46196
14/06/23,000000,4366.29,4391.82,4337.85,4372.59,46270
15/06/23,000000,4364.33,4439.2,4362.6,4425.84,46490
16/06/23,000000,4447.84,4447.87,4407.44,4409.59,46225
20/06/23,000000,4391.37,4400.15,4367.19,4388.71,45996
21/06/23,000000,4376.85,4386.22,4360.14,4365.69,46317
22/06/23,000000,4355.83,4382.25,4351.82,4381.89,46071
23/06/23,000000,4347.05,4366.55,4341.34,4348.33,46060
26/06/23,000000,4343.63,4362.06,4328.08,4328.82,46463
27/06/23,000000,4338.69,4384.42,4335,4378.41,46072
28/06/23,000000,4367.48,4390.35,4360.22,4376.86,46318
29/06/23,000000,4376.27,4398.39,4371.97,4396.44,45752
30/06/23,000000,4422.44,4458.48,4422.44,4450.38,45553
03/07/23,000000,4446.62,4456.46,4442.29,4455.59,25540
05/07/23,000000,4437.89,4454.06,4436.61,4446.82,45306
06/07/23,000000,4412.09,4415.57,4385.05,4411.59,45479
07/07/23,000000,4399.98,4440.39,4397.4,4398.95,45181
10/07/23,000000,4394.5,4412.6,4389.92,4409.53,45797
11/07/23,000000,4415.55,4443.64,4408.46,4439.26,45469
