<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
27/06/23,000000,2169,2169.5,2161.25,2161.25,5
28/06/23,000000,2130,2130.5,2120.5,2120.5,4
29/06/23,000000,2102,2102,2094.5,2094.5,3
30/06/23,000000,2104,2143.5,2104,2143.5,4
03/07/23,000000,2117,2125.5,2117,2125.5,5
04/07/23,000000,2115,2115,2111.25,2111.25,3
05/07/23,000000,2088,2092,2060.75,2060.75,7
06/07/23,000000,2059,2059,2058.25,2058.25,3
07/07/23,000000,2038,2058.55,2038,2058.55,4
10/07/23,000000,2065,2066,2061.75,2061.75,4
11/07/23,000000,2072,2072,2056.75,2056.75,4
12/07/23,000000,2085,2091.26,2077,2091.26,4
13/07/23,000000,2108,2126.5,2108,2126.5,7
14/07/23,000000,2113,2116.25,2113,2116.25,4
17/07/23,000000,2080,2088.5,2080,2088.5,5
18/07/23,000000,2094,2094,2081.25,2081.25,5
19/07/23,000000,2070,2082,2070,2074.5,7
20/07/23,000000,2081,2100.5,2081,2100.5,5
21/07/23,000000,2130,2137.75,2130,2137.75,3
24/07/23,000000,2136,2172.5,2136,2172.5,5
25/07/23,000000,2157,2173.25,2157,2173.25,3
26/07/23,000000,2140,2140.75,2140,2140.75,3
27/07/23,000000,2168,2170,2155.5,2155.5,4
28/07/23,000000,2157,2157,2154.5,2154.5,3
31/07/23,000000,2150,2150,2145.75,2145.75,3
01/08/23,000000,2152,2152,2144.76,2144.76,3
02/08/23,000000,2144,2145.25,2144,2145.25,3
03/08/23,000000,2139.5,2149.75,2139.5,2149.75,3
04/08/23,000000,2128,2128,2120.3,2120.3,4
07/08/23,000000,2143,2143,2128.75,2128.75,3
08/08/23,000000,2110,2114.93,2110,2114.93,3
09/08/23,000000,2118,2123.25,2118,2123.25,4
10/08/23,000000,2122,2132,2122,2132,3
11/08/23,000000,2118,2118,2100.75,2100.75,4
14/08/23,000000,2090,2090,2087,2087,6
15/08/23,000000,2099,2119.5,2099,2119.5,3
16/08/23,000000,2123,2123.22,2123,2123.22,5
17/08/23,000000,2135,2150.01,2135,2150.01,5
18/08/23,000000,2140,2168,2140,2168,6
21/08/23,000000,2168,2182.5,2168,2182.5,3
22/08/23,000000,2195,2195,2166.75,2166.75,4
23/08/23,000000,2189,2210,2189,2205,6
24/08/23,000000,2214,2214,2195,2195,4
25/08/23,000000,2178,2178,2171.75,2171.75,3
29/08/23,000000,2175,2213.51,2175,2213.51,4
30/08/23,000000,2220,2221,2196,2196,4
31/08/23,000000,2214,2246.4,2213,2246.4,6
01/09/23,000000,2305,2306,2275,2275,5
04/09/23,000000,2238,2263.75,2238,2263.75,5
05/09/23,000000,2270,2296.5,2270,2296.5,5
06/09/23,000000,2300,2300,2278.5,2278.5,3
07/09/23,000000,2285,2288,2285,2288,4
08/09/23,000000,2285,2285.89,2285,2285.89,3
11/09/23,000000,2313,2314,2305.5,2305.5,4
12/09/23,000000,2288,2288,2264,2264,4
13/09/23,000000,2258,2260,2258,2259.44,4
14/09/23,000000,2279,2287,2279,2287,5
15/09/23,000000,2281,2299.25,2281,2299.25,3
18/09/23,000000,2265.5,2276.5,2265.5,2276.5,5
19/09/23,000000,2235.5,2236,2233.5,2233.5,5
20/09/23,000000,2237.5,2237.5,2215,2215,3
21/09/23,000000,2200,2204,2197.05,2197.05,5
22/09/23,000000,2215,2239.75,2215,2239.75,5
25/09/23,000000,2240,2240,2215.5,2215.5,3
26/09/23,000000,2222.5,2222.5,2219.5,2219.5,4
27/09/23,000000,2185,2185.5,2174.5,2174.5,5
28/09/23,000000,2179,2220,2179,2220,4
29/09/23,000000,2208,2209,2200,2200,5
02/10/23,000000,2197,2197,2162.5,2162.5,4
03/10/23,000000,2140,2141,2138.25,2138.25,6
04/10/23,000000,2150,2150.5,2138.25,2138.25,4
05/10/23,000000,2141,2168,2140,2168,5
06/10/23,000000,2205,2207,2182.35,2183.35,5
09/10/23,000000,2176,2176.5,2159.5,2159.5,4
10/10/23,000000,2127,2127,2124,2124,3
11/10/23,000000,2132,2132,2116.55,2116.55,3
12/10/23,000000,2104,2104,2072.25,2072.25,5
13/10/23,000000,2065,2067,2064.75,2064.75,4
16/10/23,000000,2090,2112.5,2090,2112.5,5
17/10/23,000000,2085,2100,2085,2100,3
18/10/23,000000,2131,2132,2117.75,2117.75,4
19/10/23,000000,2117,2122,2117,2122,4
20/10/23,000000,2129,2140.75,2129,2140.75,4
23/10/23,000000,2167,2171,2166.5,2166.5,5
24/10/23,000000,2158,2166.75,2157,2166.75,4
25/10/23,000000,2134,2135,2124,2124,5
26/10/23,000000,2129,2132.5,2129,2132.5,4
27/10/23,000000,2142,2156,2140,2155.5,6
30/10/23,000000,2155,2155,2142.5,2142.5,6
31/10/23,000000,2125,2125,2081.75,2081.75,34
01/11/23,000000,2095,2097,2095,2095.24,5
02/11/23,000000,2100,2115,2098,2115,5
03/11/23,000000,2164,2177.25,2164,2177.25,3
06/11/23,000000,2170,2177.5,2166.5,2177.5,5
07/11/23,000000,2165,2192,2165,2192,5
08/11/23,000000,2205,2205,2191.05,2191.05,5
09/11/23,000000,2181.5,2197.8,2181.5,2197.8,3
10/11/23,000000,2190,2190,2183.83,2183.83,4
13/11/23,000000,2175,2176,2167.01,2167.01,6
14/11/23,000000,2159.5,2209.5,2159.5,2209.5,4
15/11/23,000000,2226.5,2249.5,2226.5,2249.5,3
16/11/23,000000,2268.5,2285.43,2268.5,2285.43,3
17/11/23,000000,2282,2297,2280.5,2297,5
20/11/23,000000,2285,2285,2272.5,2272.5,3
21/11/23,000000,2265,2268.01,2265,2268.01,4
22/11/23,000000,2238.5,2238.5,2211.25,2211.25,3
23/11/23,000000,2203.5,2203.5,2201.5,2201.5,3
24/11/23,000000,2189,2189,2181.3,2181.3,4
27/11/23,000000,2154.5,2154.5,2138.5,2138.5,4
28/11/23,000000,2140,2140,2125.75,2125.75,5
29/11/23,000000,2118,2118,2116.9,2116.9,3
30/11/23,000000,2110,2112,2092.2,2092.2,5
01/12/23,000000,2097,2099,2087.5,2087.5,4
04/12/23,000000,2087,2088,2054,2054,4
05/12/23,000000,2050,2050,2020,2020,20
06/12/23,000000,2001,2007,1991.26,1991.26,13
07/12/23,000000,1995,1998,1973.25,1973.25,5
08/12/23,000000,1995,1995,1984.5,1984.5,3
